"","Lead.Number","Lead.Origin","Lead.Source","Do.Not.Email","Converted","TotalVisits","Total.Time.Spent.on.Website","Page.Views.Per.Visit","Last.Activity","What.is.your.current.occupation","City","A.free.copy.of.Mastering.The.Interview","Last.Notable.Activity","total_answered"
"1","660737","API","Olark Chat","No","0",0,0,0,"Page Visited on Website","Unemployed","Thane & Outskirts","No","Modified","2"
"2","660728","API","Organic Search","No","0",5,674,2.5,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"3","660727","Landing Page Submission","Direct Traffic","No","1",2,1532,2,"Email Opened","Student","Mumbai","Yes","Email Opened","3"
"4","660719","Landing Page Submission","Direct Traffic","No","0",1,305,1,"Unreachable","Unemployed","Mumbai","No","Modified","4"
"5","660681","Landing Page Submission","Google","No","1",2,1428,1,"Converted to Lead","Unemployed","Mumbai","No","Modified","3"
"6","660680","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"7","660673","Landing Page Submission","Google","No","1",2,1640,2,"Email Opened","Unemployed","Mumbai","No","Modified","4"
"8","660664","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"9","660624","Landing Page Submission","Direct Traffic","No","0",2,71,2,"Email Opened","Unemployed","Thane & Outskirts","Yes","Email Opened","1"
"10","660616","API","Google","No","0",4,58,4,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"11","660608","Landing Page Submission","Organic Search","No","1",8,1351,8,"Email Opened","Unemployed","Other Metro Cities","Yes","Email Opened","3"
"12","660570","Landing Page Submission","Direct Traffic","No","1",8,1343,2.67,"Page Visited on Website","Unemployed","Thane & Outskirts","Yes","Page Visited on Website","3"
"13","660562","API","Organic Search","No","1",11,1538,11,"Email Opened","Unemployed","Mumbai","No","Modified","3"
"14","660558","Landing Page Submission","Organic Search","No","0",5,170,5,"Email Opened","Unemployed","Thane & Outskirts","Yes","Email Opened","3"
